商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
"""華琳""立康軟膏","LICON OINTMENT ""H.L.""",衛署藥製字第024140號,指示藥,軟膏劑,瓶裝;;管裝,Resorcinol (Resorcin)；Sulfur (Ppt),青春痘；膿皰,青春痘外用藥；細菌感染／膿皰／傷口感染,尋常性痤瘡（面皰）膿皰,華琳實業有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024140號；https://mcp.fda.gov.tw/insert/lablefiles/71c1236f-3f35-4aa7-8c7e-8eb2e9d7cc88_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/71c1236f-3f35-4aa7-8c7e-8eb2e9d7cc88_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/71c1236f-3f35-4aa7-8c7e-8eb2e9d7cc88_1?c=2
"""政德""舒膚軟膏","Shufu Ointment ""Gentle""",衛署藥製字第024170號,指示藥,軟膏劑,罐裝;;管裝,Camphor；Methyl salicylate；Lidocaine；Prednisolone；Chlorpheniramine Maleate,濕疹；皮膚炎；搔癢；燙傷,濕疹／皮膚炎；蕁麻疹／搔癢；燙傷／傷口照護,搔癢、昆蟲刺傷、蕁麻疹、濕疹、過敏性皮膚炎、凍傷、火傷、汗疹,政德製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024170號
允消愛的ADE乳膏,WINSOLVE ADE CREAM,衛署藥製字第024188號,指示藥,乳膏劑,塑膠軟管裝;;塑膠罐裝;;玻璃瓶裝,Tocopherol；Vitamin A；Vitamin D,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,皮膚乾燥、日光燒傷、凍傷、刺傷、刀傷,永信藥品工業股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024188號；https://mcp.fda.gov.tw/insert/lablefiles/830914f3-8392-4c21-8f26-cfe2f86ff4c3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/714dd676-af7c-48a3-b8f9-b794a39db2b6?c=2
"""政德 "" 樂髮癢液","DANDY LIQUID ""GENTLE""",衛署藥製字第024205號,指示藥,外用液劑,瓶裝,Salicylic acid；Chloral Hydrate,待人工確認,其他常見皮膚外用藥,圓形脫毛症,政德製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_4d963416-943f-4a60-a5bc-aebbf062738a?c=2；https://mcp.fda.gov.tw/insert/lablefiles/d22e78bf-c760-42bb-94c0-85c90e275b92_0?c=2
"""成大""好碘液10毫克/毫升（普維酮-碘）","GOOD-IODINE SOLUTION 10MG/ML ""CHEN TA"" (POVIDONE-IODINE)",衛署藥製字第024219號,指示藥,外用液劑,塑膠瓶裝,Iodine (Povidone) Avaliable Iodine,傷口,燙傷／傷口照護,緊急處理擦傷、切傷、刺傷、抓傷等導致皮外之傷口及傷口周圍的洗淨、消毒、殺菌來防止傷口的感染。,成大藥品股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024219號；https://mcp.fda.gov.tw/insert/lablefiles/0f6d8eb4-e75f-4c5c-9b87-8a84d1cec085?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c54f0c79-6eff-45c4-93b5-524c6c3dc64c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d447972b-9a43-47bb-b909-2e1bab7f5096?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_16?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e5a7c667-869f-4e55-a28e-dec50fb87053?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88264c80-8614-42e3-ba91-877e27606a9c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/f2678127-085e-4a7e-ba1d-abd3a0764d07?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_19?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_20?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_14?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7dcb2197-b9f3-42b7-b40e-5283e79941fb_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0755b21a-7118-412f-bdcd-9844cc40d54c?c=2
"""正和"" 白雲軟膏（氟欣諾能）","WHITE CLOUD OINTMENT ""C.H."" (FLUOCINONIDE)",衛署藥製字第024225號,處方藥,軟膏劑,瓶裝;;管裝,Fluocinonide,濕疹；皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,濕疹／皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,尋常性白斑、女性顏面黑皮症、圓形脫毛症、乾癬、濕疹、皮膚炎群（進行性指掌角化症、苔癬、放射性皮膚炎、日光皮膚炎),正和製藥股份有限公司新營廠,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024225號；https://mcp.fda.gov.tw/insert/lablefiles/df10dcb2-90c1-4315-9094-ee88ae11363f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a40ba7da-b811-4def-90b8-57da11a188f1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/518d8251-811c-4ab8-bc9e-cf1a777d6cc5?c=2
"""正和"" 愛美霜乳膏","EIMEI-S CREAM ""C.H.""",衛署藥製字第024245號,指示藥,乳膏劑,玻璃瓶裝,Tocopherol；Ergocalciferol (Vit D；Vitamin A,濕疹；皮膚炎；青春痘；燙傷；傷口,濕疹／皮膚炎；青春痘外用藥；燙傷／傷口照護,一般皮膚乾燥症、皮膚角化症、皮膚炎、濕疹、尋常性痤瘡、外傷及火傷之肉芽新生促進,正和製藥股份有限公司新營廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024245號；https://mcp.fda.gov.tw/insert/lablefiles/3a3692bd-4741-4fef-8b5c-cd7d6c672704_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3a3692bd-4741-4fef-8b5c-cd7d6c672704_5?c=2
"""美的"" 膚必寧乳膏","Fubining Cream ""M.D.""",衛署藥製字第024250號,指示藥,乳膏劑,鋁軟管;;瓶裝,Triamcinolone；Econazole,濕疹；皮膚炎；黴菌感染；香港腳；股癬,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。緩解濕疹或皮膚炎。,美的生物科技有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024250號；https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_13?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_15?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_21?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_18?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_23?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88bf3030-b8b1-40b9-805b-83dceb1a286f_19?c=2
祛黴速乳膏,CHUMEISU Cream,衛署藥製字第024253號,指示藥,乳膏劑,塑膠罐裝;;鋁管裝,Triamcinolone；Econazole,濕疹；皮膚炎；黴菌感染；香港腳；股癬,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。緩解濕疹或皮膚炎。,聯邦化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024253號；https://mcp.fda.gov.tw/insert/lablefiles/d09d067e-62c7-473e-ad0b-dbda48cc29b2_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d09d067e-62c7-473e-ad0b-dbda48cc29b2_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d09d067e-62c7-473e-ad0b-dbda48cc29b2_9?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d09d067e-62c7-473e-ad0b-dbda48cc29b2_8?c=2
淨膚敏親水軟膏,"GENBETA OINTMENT ""Y.C.""",衛署藥製字第024307號,指示藥,乳膏劑,塑膠瓶裝;;鋁軟管,Betamethasone；Gentamicin,濕疹；皮膚炎；燙傷；傷口；刀傷,濕疹／皮膚炎；燙傷／傷口照護；刀傷外用藥,濕疹或皮膚炎、急救、預防及減緩皮膚刀傷、刮傷、燙傷之感染,元宙化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024307號；https://mcp.fda.gov.tw/insert/lablefiles/00b19d0b-30f9-45c4-9b7a-82aa5f55f922?c=2;https://mcp.fda.gov.tw/insert/lablefiles/691667ab-550d-4cb1-826f-ad855e1c5ec1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/90333e70-b689-4891-894c-19e9b160eab2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/86a53a5a-e26b-4682-a877-69d7a8a8aebc?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc375f55-fe4c-45e8-85ef-bf62f14235b9?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4c67f52b-6a10-4e42-bfa6-b64a9cf54b4f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/34678bac-a5ea-423c-acbb-79cd2b601d6a?c=2
三松乳膏,TRISONE CREAM,衛署藥製字第024338號,處方藥,乳膏劑,管裝;;罐裝,Triamcinolone；Econazole,濕疹；黴菌感染；香港腳；股癬,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,香港腳、頑癬、股癬、圓癬、紅癬、汗斑、念珠菌感染症、濕疹、尿布疹,恆信藥品有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024338號；https://mcp.fda.gov.tw/insert/lablefiles/8ac1e0b5-dc9d-4d1e-a4a4-c3b63ea97a0d_0?c=2
"""長安""預防傷口感染軟膏","NEO-Guard CREAM ""C.A""",衛署藥製字第024351號,指示藥,乳膏劑,鋁箔管裝,Neomycin；Fluocinolone,濕疹；皮膚炎；燙傷；傷口；刀傷,濕疹／皮膚炎；燙傷／傷口照護；刀傷外用藥,急救，預防及減緩皮膚刀傷，刮傷，燙傷之感染．濕疹及皮膚炎．,長安化學工業股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024351號；https://mcp.fda.gov.tw/insert/lablefiles/d25c0e5d-ddb2-49a8-848c-a1041e0beab6_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bb16fa8d-6eb0-460e-8f99-596948212683?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1d20c8ac-8df0-4bdc-aaec-32ddf0c212f4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/9015984c-a2d3-4d65-8904-7d0bd9dbec95?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c3c17aff-57c0-4615-b93b-f1cfc0f65c48?c=2;https://mcp.fda.gov.tw/insert/lablefiles/6e25dc98-2e98-4c68-8dea-c9f9b78b9aa4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/5f6bf935-b98d-4d45-ae9f-f320d056191f?c=2
杏化潤愛麗霜乳膏,Sinpharderm A.D.E. CREAM,衛署藥製字第024519號,指示藥,乳膏劑,積層鋁管裝;;塑膠軟管裝;;塑膠瓶裝,Tocopherol；Cholecalciferol ( Eq To Vit D；Retinol Palmitate,濕疹；皮膚炎；青春痘；燙傷；傷口,濕疹／皮膚炎；青春痘外用藥；燙傷／傷口照護,皮膚粘膜乾燥症、皮膚角化症、皮膚炎、濕疹、尋常性痤瘡、外傷及火傷之肉芽新生促進,杏輝藥品工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024519號；https://mcp.fda.gov.tw/insert/lablefiles/d9b0164c-f95b-4305-a748-6f1a1616de8a_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d9b0164c-f95b-4305-a748-6f1a1616de8a_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d9b0164c-f95b-4305-a748-6f1a1616de8a_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d9b0164c-f95b-4305-a748-6f1a1616de8a_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d9b0164c-f95b-4305-a748-6f1a1616de8a_2?c=2
"""榮民"" 安您星軟膏1%",ANESIN OINTMENT 1% (DIBUCAINE),衛署藥製字第024521號,指示藥,軟膏劑,鋁管裝,Dibucaine,搔癢；消炎止痛,蕁麻疹／搔癢；疼痛／消炎止痛外用藥,昆蟲咬傷或皮膚刺激所引起之疼痛及搔癢。,榮民製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024521號；https://mcp.fda.gov.tw/insert/lablefiles/d7cf05fd-869b-490d-a011-7cb7de2d56fe_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d7cf05fd-869b-490d-a011-7cb7de2d56fe_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d7cf05fd-869b-490d-a011-7cb7de2d56fe_2?c=2
益皮康乳膏,EPARCORT CREAM,衛署藥製字第024571號,處方藥,乳膏劑,塑膠瓶裝;;鋁軟管,Triamcinolone；Econazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,由真菌群、酵母菌群、黴菌群感染所引起之皮膚病,臺灣汎生製藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024571號；https://mcp.fda.gov.tw/insert/lablefiles/a5229574-f200-4a40-bc6d-9ed01f78bcc7_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a5229574-f200-4a40-bc6d-9ed01f78bcc7_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a5229574-f200-4a40-bc6d-9ed01f78bcc7_0?c=2
伏徽乳膏（亦可那挫）,"ECOZOLE CREAM (ECONAZOLE) ""PZNBIOTIC""",衛署藥製字第024573號,指示藥,乳膏劑,瓶裝;;管裝,Econazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬、汗斑,臺灣汎生製藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
安可麗乳膏（瑞婷羅）,"ACNNIN CREAM (TRETINOIN) ""AND""",衛署藥製字第024624號,指示藥,乳膏劑,罐裝;;管裝,Tretinoin,青春痘,青春痘外用藥,尋常性痤瘡、皮膚角質化,明大化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_d5995fde-505c-42b6-8604-bc3b5763239b?c=2；https://mcp.fda.gov.tw/insert/lablefiles/3d470690-96fa-4c34-ad90-e0f15f95efc7_0?c=2
“優良”潔芙乳膏１０％（本溶塞）,CLEARER CREAM 10% (BENZOYL PEROXIDE),衛署藥製字第024630號,指示藥,乳膏劑,管裝,Benzoyl peroxide,青春痘,青春痘外用藥,治療尋常性痤瘡,優良化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""美西""美佳乳膏",MAI JA CREAM,衛署藥製字第024693號,指示藥,乳膏劑,管裝,Tocopherol；Ergocalciferol (Vit D；Vitamin A (Palmitate),濕疹；皮膚炎；青春痘；燙傷；傷口,濕疹／皮膚炎；青春痘外用藥；燙傷／傷口照護,皮膚乾燥症、皮膚角化症、皮膚炎、濕疹、尋常性痤瘡、外傷及火傷之肉芽新生促進,美西製藥有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""華盛頓""皂化苯甲醯苄酯洗劑","SAPONATED BENZYL BENZOATE FOR LOTION    ""W.P.""",衛署藥製字第024801號,指示藥,洗劑,瓶裝,Benzyl Benzoate,黴菌感染,香港腳／股癬／體癬／黴菌感染,疥癬、虱感染,華盛頓製藥廠股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""富邦""皮利康乳膏","PERICON CREAM ""F.B""",衛署藥製字第024878號,指示藥,乳膏劑,管裝;;塑膠瓶裝,Triamcinolone；Econazole,濕疹；皮膚炎；黴菌感染；香港腳；股癬,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。緩解濕疹或皮膚炎。,富邦藥品有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第024878號；https://mcp.fda.gov.tw/insert/lablefiles/e7af4e61-c362-4aca-9484-91200165567c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2ca7d52f-3a4a-4454-b415-cd2a98b2d692?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2f61a7c7-a3e8-4b8f-b377-36aa2f3d8d53?c=2
"""杏輝""黴克頓乳膏10毫克/公克（克氯黴唑）","MYCOSTEN CREAM 10MG/GM ""SINPHAR""(CLOTRIMAZOLE)",衛署藥製字第025136號,指示藥,乳膏劑,鋁管裝;;積層鋁管裝;;塑膠瓶裝,Clotrimazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染、如：足癬（香港腳）、股癬、汗斑。,杏輝藥品工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025136號；https://mcp.fda.gov.tw/insert/lablefiles/a78cdc0c-ef57-44fc-8f73-d8003f4ddfd0_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a78cdc0c-ef57-44fc-8f73-d8003f4ddfd0_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a78cdc0c-ef57-44fc-8f73-d8003f4ddfd0_6?c=2
“優良”康膚乳膏１０毫克/公克（克催瑪汝）,CANIFUNGA CREAM 10MG/GM (CLOTRIMAZOLE),衛署藥製字第025161號,指示藥,乳膏劑,罐裝;;管裝,Clotrimazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬、汗斑。,優良化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""應元""康那龍軟膏(硝酸美可那唑)","Konazole Ointment ""Y.Y."" (Miconazole nitrate)",衛署藥製字第025218號,指示藥,軟膏劑,管裝;;塑膠罐裝,Miconazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬、汗斑。,應元化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_089768bf-1060-4c62-8d29-882ee726cab0?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_cb965eeb-7220-4b81-b4e3-93316ea59b43?c=2；https://mcp.fda.gov.tw/insert/lablefiles/4211cd71-685a-4c0c-babe-f0137c87abde_0?c=2
百達妥乳膏,"BETATOL CREAM ""H.K.""",衛署藥製字第025236號,處方藥,乳膏劑,管裝;;瓶裝,Betamethasone；Gentamicin；Tolnaftate；Iodochlorhydroxyquin,濕疹；皮膚炎,濕疹／皮膚炎,治療濕疹及其他過敏感染和發炎性皮膚炎。,新功藥品工業有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025236號；https://mcp.fda.gov.tw/insert/lablefiles/b86e356f-4329-418b-ae06-4f22384562e0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bc6c52ea-8deb-43d3-9ee0-bf26de3fd270?c=2
"""紐約""特蒂樂乳膏０．１％（瑞婷羅）",TRETINOIN CREAM 0.1%,衛署藥製字第025237號,指示藥,乳膏劑,罐裝;;鋁軟管裝,Tretinoin,青春痘,青春痘外用藥,尋常性痤瘡（面皰）丘疹,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025237號；https://mcp.fda.gov.tw/insert/lablefiles/7f43eaba-0a0f-4a53-8192-ac1d2d55119b_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7f43eaba-0a0f-4a53-8192-ac1d2d55119b_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7f43eaba-0a0f-4a53-8192-ac1d2d55119b_1?c=2
"""明德"" 喜多癬寧乳膏",SEEDO-SANIN CREAM,衛署藥製字第025291號,指示藥,乳膏劑,鋁管裝;;塑膠瓶裝,Triamcinolone；Econazole,濕疹；皮膚炎；黴菌感染；香港腳；股癬,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。緩解濕疹或皮膚炎。,明德製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025291號；https://mcp.fda.gov.tw/insert/lablefiles/a2277978-9b7f-4f53-becd-339f97c8c050_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a2277978-9b7f-4f53-becd-339f97c8c050_7?c=2
"""長安""淨黴黴乳膏","CleanM.M. HC Cream ""C.A.""",衛署藥製字第025318號,指示藥,乳膏劑,鋁管裝,Hydrocortisone；Miconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚因真菌群或念珠菌種所引起之皮膚感染症。,長安化學工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025318號；https://mcp.fda.gov.tw/insert/lablefiles/e05bf200-e806-4657-9dbb-45efcfda23c9?c=2;https://mcp.fda.gov.tw/insert/lablefiles/59e5f2f6-a96d-4f30-a379-8518a73fba36?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b880ab0d-d7e8-4942-8071-d1d2ec5aa849?c=2
"""紐約""疥剋藥水（皂化苯甲酸苄酯）",JACK SOLUTION (BENZYL BENZOATE SAPONATED),衛署藥製字第025416號,指示藥,外用液劑,瓶裝,Triethanolamine,疥瘡,其他常見皮膚外用藥,疥瘡、蝨病,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_01dc8aeb-157e-4393-a54f-3df050f3de24?c=2；https://mcp.fda.gov.tw/insert/lablefiles/2d3443d5-16dd-443b-81f4-07f480da0372_0?c=2
"""杏輝""欲克黴乳膏","ECONALONE CREAM ""SINPHAR""",衛署藥製字第025567號,處方藥,乳膏劑,鋁管裝;;塑膠瓶裝,Triamcinolone；Econazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚因真菌群、酵母菌群、霉菌群所引起之皮膚病,杏輝藥品工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第025567號；https://mcp.fda.gov.tw/insert/lablefiles/3af3da5b-1c74-4063-99f2-bf06cccf5aae?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b7c144a0-1f9d-4802-9064-dd0db8db383a?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4b9629db-7fc6-4d62-a989-f07b683e4156?c=2;https://mcp.fda.gov.tw/insert/lablefiles/175b2462-6578-4172-ba82-52df5a27eece?c=2;https://mcp.fda.gov.tw/insert/lablefiles/efb49eef-af87-4f53-a4cb-c3df976cc6c8?c=2
